#class,z,objid,psfMag_r,fiberMag_r,modelMag_r,petroMag_r,petroRad_r,petroR50_r,petroR90_r,lnLStar_r,lnLExp_r,lnLDeV_r,mE1_r,mE2_r,mRrCc_r,type_r,type
# 10A  ,E,K    ,E       ,E         ,E         ,E         ,E         ,E         ,E         ,E        ,E       ,E       ,E    ,E    ,E      ,I     ,I
STAR,0.0005687175,1237648721759633567,18.94494,19.27248,18.94524,19.01731,1.165727,0.6000485,1.27864,-0.5277871,-0.6775009,-0.6379738,-0.1212527,-0.04283144,2.821844,6,6
STAR,0.0005607402,1237648721759895658,15.49971,15.86365,15.50475,15.55921,1.357923,0.6894716,1.541232,-21.13011,-23.12201,-23.09669,-0.03057326,-0.007270542,3.599043,6,6
STAR,-0.0001197977,1237648720697753602,17.09112,17.42307,17.08837,17.13331,1.269672,0.647011,1.427938,-3.318556,-1.422683,-1.421387,-0.07499102,-0.04360013,3.21697,6,6
STAR,0.0005670287,1237648720697753739,17.88004,18.20956,17.88233,17.93591,1.237314,0.6308578,1.374685,-0.001063405,-0.002707804,-0.002718944,-0.01786278,-0.04134289,3.052759,6,6
STAR,-0.0003634633,1237648721228660937,19.96767,20.32971,19.97084,20.05269,1.205947,0.626902,1.386068,-0.3931957,-0.5803746,-0.5801872,-0.1046507,-0.06580851,3.013081,6,6
STAR,0.0001295669,1237648721230823451,17.28197,17.61385,17.28163,17.32916,1.218029,0.6206027,1.363745,-4.483162,-5.204899,-5.202836,-0.04784371,3.431743E-05,2.899992,6,6
STAR,7.647447E-05,1237648721760157783,17.7199,18.04749,17.72337,17.77266,1.145977,0.5891136,1.28806,-0.4459609,-0.6263242,-0.5660776,-0.1094817,-0.02391809,2.590405,6,6
STAR,0.0005912809,1237648721763303553,17.60108,17.92873,17.57746,17.62218,1.347131,0.6855502,1.512294,-14.91342,-5.327188,-5.269406,-0.06827715,-0.09655318,3.621422,6,6
STAR,3.262239E-05,1237648721238556789,17.94245,18.27271,17.92889,17.9662,1.439291,0.7312412,1.593948,-4.705122,-2.972786,-2.988101,-0.04996018,-0.07190874,4.219923,6,6
STAR,-0.000254212,1237648721766907910,17.1984,17.52982,17.20573,17.26579,1.088296,0.5632136,1.203987,-0.08795537,-0.336841,-0.3431302,-0.1269377,-0.02081526,2.394048,6,6
