#class,z,objid,psfMag_r,fiberMag_r,modelMag_r,petroMag_r,petroRad_r,petroR50_r,petroR90_r,lnLStar_r,lnLExp_r,lnLDeV_r,mE1_r,mE2_r,mRrCc_r,type_r,type
# 10A  ,E,K    ,E       ,E         ,E         ,E         ,E         ,E         ,E         ,E        ,E       ,E       ,E    ,E    ,E      ,I     ,I
GALAXY,0.03296839,1237652901835243636,17.00911,17.1246,14.90232,15.08624,9.54646,4.584713,11.37185,-53427.94,-9664.603,-3815.175,-0.1193137,-0.03528422,24.98373,3,3
GALAXY,0.008175387,1237651540322484574,20.96828,20.58041,17.27457,18.25855,2.96915,3.526788,5.42803,-1068.073,-4.370751,-122.5824,0.1294016,0.3572528,159.3335,3,3
GALAXY,0.04688713,1237652938329096954,19.77683,19.34966,17.9478,17.96644,4.502554,2.161597,4.42113,-3117.023,-61.04363,-320.5728,0.5642779,-0.4409942,39.24242,3,3
GALAXY,0.005295832,1237654657385627665,18.72169,18.75019,17.00544,16.908,7.207165,3.129501,8.060221,-11427.57,-338.0391,-691.4667,0.2842899,-0.3727188,51.59543,3,3
GALAXY,0.047107,1237654601032400995,18.54308,18.64395,16.54149,16.60147,7.039638,3.538092,6.416541,-18594.96,-957.1507,-2736.96,0.0584538,0.2535341,103.4462,3,3
GALAXY,0.005500982,1237651754564649144,19.6141,19.23714,16.58834,16.50206,13.33206,5.761734,14.06213,-8506.16,-137.6879,-566.2285,-0.2222149,-0.2459222,140.4992,3,3
GALAXY,0.0328458,1237654601565601917,18.67146,18.31497,16.29063,16.31961,7.033901,3.242821,7.381626,-25768.66,-267.6465,-4070.277,-0.6865163,-0.1622587,102.2654,3,3
GALAXY,0.03334121,1237654601568682193,18.37232,18.29861,15.83653,15.85499,9.745422,4.622343,9.945025,-36577.34,-1214.816,-4632.309,0.3013673,0.3183272,160.9883,3,3
GALAXY,0.04691023,1237654657922433103,16.80713,16.90646,15.64128,15.74176,4.534819,1.956844,6.1977,-29879.26,-7177.532,-259.1755,-0.04898737,0.248431,12.34565,3,3
GALAXY,0.006454309,1237652947997163667,20.71408,19.55288,20.50972,20.62218,1.236548,0.6312013,1.145963,-2.022939,-0.3098323,-0.4972273,0.01131409,-0.06944202,3.656429,3,6
GALAXY,0.0469687,1237653010834522374,19.82552,19.49496,17.53613,17.56014,6.631041,3.226023,6.281117,-3899.883,-121.2931,-310.6106,0.04167715,0.05553639,72.05456,3,3
GALAXY,0.0471678,1237653011343344123,18.76147,18.22665,16.81402,16.82292,4.871028,2.208234,5.785266,-13465.04,-222.2633,-1291.046,-0.7898025,0.2192015,48.04841,3,3
